Year,Month,Number of Employees,Total Windows Assets,Total MAC Assets,Windows Assets Purchased,MAC Assets Purchased,Windows Assets Expiring,MAC Assets Expiring
2022,Aug,235343,141205,94137,11767,9413,7060,4706
2022,Sep,236220,141732,94488,11811,9448,7086,4724
2022,Oct,214515,128709,85806,10725,8580,6435,4290
2022,Nov,215308,129184,86123,10765,8612,6459,4306
2022,Dec,216102,129661,86440,10805,8644,6483,4322
2022,Jan,216895,130137,86758,10844,8675,6506,4337
2022,Feb,217688,130612,87075,10884,8707,6530,4353
2022,Mar,218481,131088,87392,10924,8739,6554,4369
2023,Apr,242356,145413,96942,12117,9694,7270,4847
2023,May,243233,145939,97293,12161,9729,7296,4864
2023,Jun,244110,146466,97644,12205,9764,7323,4882
2023,Jul,244987,146992,97994,12249,9799,7349,4899
2023,Aug,245863,147517,98345,12293,9834,7375,4917
2023,Sep,246740,148044,98696,12337,9869,7402,4934
2023,Oct,224033,134419,89613,11201,8961,6720,4480
2023,Nov,224827,134896,89930,11241,8993,6744,4496
2023,Dec,225620,135372,90248,11281,9024,6768,4512
2023,Jan,226413,135847,90565,11320,9056,6792,4528
2023,Feb,227206,136323,90882,11360,9088,6816,4544
2023,Mar,228000,136800,91200,11400,9120,6840,4560
